Rank,NOC,Gold,Silver,Bronze,Total,Year,Hosting
1,USA,37,24,32,93,2000,False
3,CHN,28,16,14,58,2000,False
4,AUS,16,25,17,58,2000,True
5,DEU,13,17,26,56,2000,False
6,FRA,13,14,11,38,2000,False
7,ITA,13,8,13,34,2000,False
8,NLD,12,9,4,25,2000,False
9,CUB,11,11,7,29,2000,False
10,GBR,11,10,7,28,2000,False
11,ROU,11,6,9,26,2000,False
13,HUN,8,6,3,17,2000,False
14,POL,6,5,3,14,2000,False
15,JPN,5,8,5,18,2000,False
16,BGR,5,6,2,13,2000,False
17,GRC,4,6,3,13,2000,False
18,SWE,4,5,3,12,2000,False
19,NOR,4,3,3,10,2000,False
20,ETH,4,1,3,8,2000,False
21,UKR,3,10,10,23,2000,False
22,KAZ,3,4,0,7,2000,False
23,BLR,3,3,11,17,2000,False
24,CAN,3,3,8,14,2000,False
25,ESP,3,3,5,11,2000,False
26,TUR,3,0,2,5,2000,False
29,KEN,2,3,2,7,2000,False
30,DNK,2,3,1,6,2000,False
31,FIN,2,1,1,4,2000,False
32,AUT,2,1,0,3,2000,False
33,LTU,2,0,3,5,2000,False
34,AZE,2,0,1,3,2000,False
34,BHS,2,0,1,3,2000,False
36,SVN,2,0,0,2,2000,False
37,CHE,1,6,2,9,2000,False
38,IDN,1,3,2,6,2000,False
39,SVK,1,3,1,5,2000,False
40,MEX,1,2,3,6,2000,False
41,NGA,1,2,0,3,2000,False
42,DZA,1,1,3,5,2000,False
43,UZB,1,1,2,4,2000,False
44,LVA,1,1,1,3,2000,False
46,NZL,1,0,3,4,2000,False
47,EST,1,0,2,3,2000,False
47,THA,1,0,2,3,2000,False
49,HRV,1,0,1,2,2000,False
50,CMR,1,0,0,1,2000,False
50,COL,1,0,0,1,2000,False
50,MOZ,1,0,0,1,2000,False
53,BRA,0,6,6,12,2000,False
54,JAM,0,6,3,9,2000,False
55,BEL,0,2,3,5,2000,False
55,ZAF,0,2,3,5,2000,False
57,ARG,0,2,2,4,2000,False
58,TPE,0,1,4,5,2000,False
58,MAR,0,1,4,5,2000,False
60,PRK,0,1,3,4,2000,False
61,MDA,0,1,1,2,2000,False
61,SAU,0,1,1,2,2000,False
61,TTO,0,1,1,2,2000,False
64,IRL,0,1,0,1,2000,False
64,LKA,0,1,0,1,2000,False
64,URY,0,1,0,1,2000,False
68,GEO,0,0,6,6,2000,False
69,CRI,0,0,2,2,2000,False
69,PRT,0,0,2,2,2000,False
71,ARM,0,0,1,1,2000,False
71,BRB,0,0,1,1,2000,False
71,CHL,0,0,1,1,2000,False
71,ISL,0,0,1,1,2000,False
71,IND,0,0,1,1,2000,False
71,ISR,0,0,1,1,2000,False
71,KWT,0,0,1,1,2000,False
71,KGZ,0,0,1,1,2000,False
71,QAT,0,0,1,1,2000,False
1,USA,36,39,26,101,2004,False
2,CHN,32,17,14,63,2004,False
4,AUS,17,16,17,50,2004,False
5,JPN,16,9,12,37,2004,False
6,DEU,13,16,20,49,2004,False
7,FRA,11,9,13,33,2004,False
8,ITA,10,11,11,32,2004,False
10,GBR,9,9,12,30,2004,False
11,CUB,9,7,11,27,2004,False
12,HUN,8,6,3,17,2004,False
13,UKR,8,5,9,22,2004,False
14,ROU,8,5,6,19,2004,False
15,GRC,6,6,4,16,2004,True
16,BRA,5,2,3,10,2004,False
17,NOR,5,0,1,6,2004,False
18,NLD,4,9,9,22,2004,False
19,SWE,4,2,1,7,2004,False
20,ESP,3,11,6,20,2004,False
21,CAN,3,6,3,12,2004,False
22,TUR,3,3,4,10,2004,False
23,POL,3,2,5,10,2004,False
24,NZL,3,2,0,5,2004,False
25,THA,3,1,4,8,2004,False
26,BLR,2,5,6,13,2004,False
27,AUT,2,4,1,7,2004,False
28,ETH,2,3,2,7,2004,False
29,SVK,2,2,2,6,2004,False
31,TPE,2,2,1,5,2004,False
32,GEO,2,2,0,4,2004,False
33,BGR,2,1,9,12,2004,False
34,DNK,2,1,5,8,2004,False
35,JAM,2,1,2,5,2004,False
35,UZB,2,1,2,5,2004,False
37,MAR,2,1,0,3,2004,False
38,ARG,2,0,4,6,2004,False
39,CHL,2,0,1,3,2004,False
40,KAZ,1,4,3,8,2004,False
41,KEN,1,4,2,7,2004,False
43,ZAF,1,3,2,6,2004,False
44,HRV,1,2,2,5,2004,False
45,LTU,1,2,0,3,2004,False
46,EGY,1,1,3,5,2004,False
46,CHE,1,1,3,5,2004,False
48,IDN,1,1,2,4,2004,False
49,ZWE,1,1,1,3,2004,False
50,AZE,1,0,4,5,2004,False
51,BEL,1,0,2,3,2004,False
52,BHS,1,0,1,2,2004,False
52,ISR,1,0,1,2,2004,False
54,CMR,1,0,0,1,2004,False
54,DOM,1,0,0,1,2004,False
54,ARE,1,0,0,1,2004,False
57,PRK,0,4,1,5,2004,False
58,LVA,0,4,0,4,2004,False
59,MEX,0,3,1,4,2004,False
60,PRT,0,2,1,3,2004,False
61,FIN,0,2,0,2,2004,False
63,SVN,0,1,3,4,2004,False
64,EST,0,1,2,3,2004,False
65,HKG,0,1,0,1,2004,False
65,IND,0,1,0,1,2004,False
65,PRY,0,1,0,1,2004,False
68,COL,0,0,2,2,2004,False
68,NGA,0,0,2,2,2004,False
71,ERI,0,0,1,1,2004,False
71,MNG,0,0,1,1,2004,False
71,TTO,0,0,1,1,2004,False
1,CHN,48,22,30,100,2008,True
2,USA,36,39,37,112,2008,False
4,GBR,19,13,19,51,2008,False
5,DEU,16,11,14,41,2008,False
6,AUS,14,15,17,46,2008,False
8,JPN,9,8,8,25,2008,False
9,ITA,8,9,10,27,2008,False
10,FRA,7,16,20,43,2008,False
11,NLD,7,5,4,16,2008,False
12,UKR,7,4,11,22,2008,False
13,KEN,6,4,6,16,2008,False
14,ESP,5,11,3,19,2008,False
15,JAM,5,4,2,11,2008,False
16,POL,4,5,2,11,2008,False
17,ETH,4,2,1,7,2008,False
18,ROU,4,1,4,9,2008,False
19,CUB,3,10,17,30,2008,False
20,CAN,3,9,8,20,2008,False
21,HUN,3,5,2,10,2008,False
22,NOR,3,5,1,9,2008,False
23,BRA,3,4,10,17,2008,False
24,BLR,3,4,7,14,2008,False
26,SVK,3,3,0,6,2008,False
27,NZL,3,2,4,9,2008,False
28,GEO,3,2,2,7,2008,False
29,KAZ,2,3,4,9,2008,False
30,DNK,2,2,3,7,2008,False
31,PRK,2,2,2,6,2008,False
31,THA,2,2,2,6,2008,False
33,MNG,2,2,0,4,2008,False
34,CHE,2,1,4,7,2008,False
35,ARG,2,0,4,6,2008,False
36,MEX,2,0,2,4,2008,False
37,BEL,2,0,0,2,2008,False
38,ZWE,1,3,0,4,2008,False
39,SVN,1,2,2,5,2008,False
40,AZE,1,1,4,6,2008,False
40,IDN,1,1,4,6,2008,False
42,BGR,1,1,3,5,2008,False
42,TUR,1,1,3,5,2008,False
44,TPE,1,1,2,4,2008,False
44,FIN,1,1,2,4,2008,False
46,LVA,1,1,1,3,2008,False
47,DOM,1,1,0,2,2008,False
47,EST,1,1,0,2,2008,False
47,PRT,1,1,0,2,2008,False
47,TTO,1,1,0,2,2008,False
51,IND,1,0,2,3,2008,False
53,CMR,1,0,0,1,2008,False
53,PAN,1,0,0,1,2008,False
53,TUN,1,0,0,1,2008,False
56,SWE,0,4,1,5,2008,False
57,LTU,0,3,2,5,2008,False
57,NGA,0,3,2,5,2008,False
59,HRV,0,2,3,5,2008,False
60,COL,0,2,1,3,2008,False
60,GRC,0,2,1,3,2008,False
62,ARM,0,1,4,5,2008,False
63,UZB,0,1,3,4,2008,False
64,AUT,0,1,2,3,2008,False
64,IRL,0,1,2,3,2008,False
64,KGZ,0,1,2,3,2008,False
64,SRB,0,1,2,3,2008,False
68,DZA,0,1,1,2,2008,False
68,BHS,0,1,1,2,2008,False
68,MAR,0,1,1,2,2008,False
68,TJK,0,1,1,2,2008,False
72,CHL,0,1,0,1,2008,False
72,ECU,0,1,0,1,2008,False
72,ISL,0,1,0,1,2008,False
72,MYS,0,1,0,1,2008,False
72,WSM,0,1,0,1,2008,False
72,SGP,0,1,0,1,2008,False
72,ZAF,0,1,0,1,2008,False
72,SDN,0,1,0,1,2008,False
81,EGY,0,0,2,2,2008,False
82,AFG,0,0,1,1,2008,False
82,ISR,0,0,1,1,2008,False
82,MUS,0,0,1,1,2008,False
82,MDA,0,0,1,1,2008,False
82,TGO,0,0,1,1,2008,False
1,USA,48,26,30,104,2012,False
2,CHN,39,31,22,92,2012,False
3,GBR,29,18,18,65,2012,True
6,DEU,11,20,13,44,2012,False
7,FRA,11,11,13,35,2012,False
8,AUS,8,15,12,35,2012,False
9,ITA,8,9,11,28,2012,False
10,HUN,8,4,6,18,2012,False
11,JPN,7,14,17,38,2012,False
13,NLD,6,6,8,20,2012,False
14,NZL,6,2,5,13,2012,False
15,UKR,5,4,10,19,2012,False
16,CUB,5,3,7,15,2012,False
17,ESP,4,10,6,20,2012,False
18,JAM,4,5,4,13,2012,False
20,ZAF,4,1,1,6,2012,False
21,PRK,4,0,2,6,2012,False
22,BRA,3,5,9,17,2012,False
23,KAZ,3,2,6,11,2012,False
23,POL,3,2,6,11,2012,False
25,ETH,3,2,3,8,2012,False
26,HRV,3,1,2,6,2012,False
27,CAN,2,6,10,18,2012,False
28,BLR,2,5,3,10,2012,False
29,KEN,2,4,7,13,2012,False
30,DNK,2,4,3,9,2012,False
31,ROU,2,4,1,7,2012,False
32,AZE,2,2,5,9,2012,False
33,CHE,2,2,0,4,2012,False
34,NOR,2,1,1,4,2012,False
35,LTU,2,0,3,5,2012,False
36,TUN,2,0,1,3,2012,False
37,SWE,1,4,3,8,2012,False
38,COL,1,3,5,9,2012,False
39,MEX,1,3,4,8,2012,False
40,GEO,1,2,3,6,2012,False
41,IRL,1,1,4,6,2012,False
42,ARG,1,1,2,4,2012,False
42,SRB,1,1,2,4,2012,False
42,SVN,1,1,2,4,2012,False
42,TTO,1,1,2,4,2012,False
46,TUR,1,1,1,3,2012,False
47,DOM,1,1,0,2,2012,False
48,TPE,1,0,1,2,2012,False
48,LVA,1,0,1,2,2012,False
50,DZA,1,0,0,1,2012,False
50,BHS,1,0,0,1,2012,False
50,BHR,1,0,0,1,2012,False
50,GRD,1,0,0,1,2012,False
50,UGA,1,0,0,1,2012,False
56,EGY,0,3,1,4,2012,False
57,IND,0,2,4,6,2012,False
58,MNG,0,2,3,5,2012,False
59,THA,0,2,2,4,2012,False
60,BGR,0,2,1,3,2012,False
60,FIN,0,2,1,3,2012,False
60,IDN,0,2,1,3,2012,False
63,SVK,0,1,3,4,2012,False
64,BEL,0,1,2,3,2012,False
65,ARM,0,1,1,2,2012,False
65,EST,0,1,1,2,2012,False
65,MYS,0,1,1,2,2012,False
65,PRI,0,1,1,2,2012,False
65,QAT,0,1,1,2,2012,False
70,BWA,0,1,0,1,2012,False
70,CYP,0,1,0,1,2012,False
70,GAB,0,1,0,1,2012,False
70,GTM,0,1,0,1,2012,False
70,MNE,0,1,0,1,2012,False
70,PRT,0,1,0,1,2012,False
76,UZB,0,0,3,3,2012,False
77,GRC,0,0,2,2,2012,False
77,SGP,0,0,2,2,2012,False
79,AFG,0,0,1,1,2012,False
79,CMR,0,0,1,1,2012,False
79,HKG,0,0,1,1,2012,False
79,KWT,0,0,1,1,2012,False
79,MAR,0,0,1,1,2012,False
79,SAU,0,0,1,1,2012,False
79,TJK,0,0,1,1,2012,False
1,USA,46,37,38,121,2016,False
2,GBR,27,23,17,67,2016,False
3,CHN,26,18,26,70,2016,False
5,DEU,17,10,15,42,2016,False
6,JPN,12,8,21,41,2016,False
7,FRA,10,18,14,42,2016,False
9,ITA,8,12,8,28,2016,False
10,AUS,8,11,10,29,2016,False
11,NLD,8,7,4,19,2016,False
12,HUN,8,3,4,15,2016,False
13,BRA,7,6,6,19,2016,True
14,ESP,7,4,6,17,2016,False
15,KEN,6,6,1,13,2016,False
16,JAM,6,3,2,11,2016,False
17,HRV,5,3,2,10,2016,False
18,CUB,5,2,4,11,2016,False
19,NZL,4,9,5,18,2016,False
20,CAN,4,3,15,22,2016,False
21,UZB,4,2,7,13,2016,False
22,COL,3,2,3,8,2016,False
23,CHE,3,2,2,7,2016,False
25,GRC,3,1,2,6,2016,False
26,ARG,3,1,0,4,2016,False
27,DNK,2,6,7,15,2016,False
28,SWE,2,6,3,11,2016,False
29,ZAF,2,6,2,10,2016,False
30,KAZ,2,5,10,17,2016,False
31,UKR,2,5,4,11,2016,False
32,SRB,2,4,2,8,2016,False
33,POL,2,3,6,11,2016,False
34,PRK,2,3,2,7,2016,False
35,BEL,2,2,2,6,2016,False
35,THA,2,2,2,6,2016,False
37,SVK,2,2,0,4,2016,False
38,GEO,2,1,4,7,2016,False
39,AZE,1,7,10,18,2016,False
40,BLR,1,4,4,9,2016,False
41,TUR,1,3,4,8,2016,False
42,ARM,1,3,0,4,2016,False
44,ETH,1,2,5,8,2016,False
45,SVN,1,2,1,4,2016,False
46,IDN,1,2,0,3,2016,False
47,ROU,1,1,2,4,2016,False
48,BHR,1,1,0,2,2016,False
50,TPE,1,0,2,3,2016,False
51,BHS,1,0,1,2,2016,False
51,CIV,1,0,1,2,2016,False
54,FJI,1,0,0,1,2016,False
54,JOR,1,0,0,1,2016,False
54,PRI,1,0,0,1,2016,False
54,SGP,1,0,0,1,2016,False
54,TJK,1,0,0,1,2016,False
60,MYS,0,4,1,5,2016,False
61,MEX,0,3,2,5,2016,False
63,DZA,0,2,0,2,2016,False
63,IRL,0,2,0,2,2016,False
65,LTU,0,1,3,4,2016,False
66,BGR,0,1,2,3,2016,False
67,IND,0,1,1,2,2016,False
67,MNG,0,1,1,2,2016,False
69,BDI,0,1,0,1,2016,False
69,GRD,0,1,0,1,2016,False
69,NER,0,1,0,1,2016,False
69,PHL,0,1,0,1,2016,False
69,QAT,0,1,0,1,2016,False
74,NOR,0,0,4,4,2016,False
75,EGY,0,0,3,3,2016,False
75,TUN,0,0,3,3,2016,False
77,ISR,0,0,2,2,2016,False
78,AUT,0,0,1,1,2016,False
78,DOM,0,0,1,1,2016,False
78,EST,0,0,1,1,2016,False
78,FIN,0,0,1,1,2016,False
78,MAR,0,0,1,1,2016,False
78,NGA,0,0,1,1,2016,False
78,PRT,0,0,1,1,2016,False
78,TTO,0,0,1,1,2016,False
78,ARE,0,0,1,1,2016,False
1,USA,39,41,33,113,2020,False
2,CHN,38,32,19,89,2020,False
3,JPN,27,14,17,58,2020,True
4,GBR,22,20,22,64,2020,False
6,AUS,17,7,22,46,2020,False
7,NLD,10,12,14,36,2020,False
8,FRA,10,12,11,33,2020,False
9,DEU,10,11,16,37,2020,False
10,ITA,10,10,20,40,2020,False
11,CAN,7,7,10,24,2020,False
12,BRA,7,6,8,21,2020,False
13,NZL,7,6,7,20,2020,False
14,CUB,7,3,5,15,2020,False
15,HUN,6,7,7,20,2020,False
17,POL,4,5,5,14,2020,False
19,KEN,4,4,2,10,2020,False
20,NOR,4,2,2,8,2020,False
21,JAM,4,1,4,9,2020,False
22,ESP,3,8,6,17,2020,False
23,SWE,3,6,0,9,2020,False
24,CHE,3,4,6,13,2020,False
25,DNK,3,4,4,11,2020,False
26,HRV,3,3,2,8,2020,False
28,SRB,3,1,5,9,2020,False
29,BEL,3,1,3,7,2020,False
30,BGR,3,1,2,6,2020,False
31,SVN,3,1,1,5,2020,False
32,UZB,3,0,2,5,2020,False
33,GEO,2,5,1,8,2020,False
34,TPE,2,4,6,12,2020,False
35,TUR,2,2,9,13,2020,False
36,GRC,2,1,1,4,2020,False
36,UGA,2,1,1,4,2020,False
38,ECU,2,1,0,3,2020,False
39,IRL,2,0,2,4,2020,False
39,ISR,2,0,2,4,2020,False
41,QAT,2,0,1,3,2020,False
42,BHS,2,0,0,2,2020,False
44,UKR,1,6,12,19,2020,False
45,BLR,1,3,3,7,2020,False
46,ROU,1,3,0,4,2020,False
48,IND,1,2,4,7,2020,False
49,HKG,1,2,3,6,2020,False
50,PHL,1,2,1,4,2020,False
50,SVK,1,2,1,4,2020,False
52,ZAF,1,2,0,3,2020,False
53,AUT,1,1,5,7,2020,False
54,EGY,1,1,4,6,2020,False
55,IDN,1,1,3,5,2020,False
56,ETH,1,1,2,4,2020,False
56,PRT,1,1,2,4,2020,False
58,TUN,1,1,0,2,2020,False
59,EST,1,0,1,2,2020,False
59,FJI,1,0,1,2,2020,False
59,LVA,1,0,1,2,2020,False
59,THA,1,0,1,2,2020,False
63,BMU,1,0,0,1,2020,False
63,MAR,1,0,0,1,2020,False
63,PRI,1,0,0,1,2020,False
66,COL,0,4,1,5,2020,False
67,AZE,0,3,4,7,2020,False
68,DOM,0,3,2,5,2020,False
69,ARM,0,2,2,4,2020,False
70,KGZ,0,2,1,3,2020,False
71,MNG,0,1,3,4,2020,False
72,ARG,0,1,2,3,2020,False
72,SMR,0,1,2,3,2020,False
74,JOR,0,1,1,2,2020,False
74,MYS,0,1,1,2,2020,False
74,NGA,0,1,1,2,2020,False
77,BHR,0,1,0,1,2020,False
77,LTU,0,1,0,1,2020,False
77,NAM,0,1,0,1,2020,False
77,MKD,0,1,0,1,2020,False
77,SAU,0,1,0,1,2020,False
77,TKM,0,1,0,1,2020,False
83,KAZ,0,0,8,8,2020,False
84,MEX,0,0,4,4,2020,False
85,FIN,0,0,2,2,2020,False
86,BWA,0,0,1,1,2020,False
86,BFA,0,0,1,1,2020,False
86,GHA,0,0,1,1,2020,False
86,GRD,0,0,1,1,2020,False
86,CIV,0,0,1,1,2020,False
86,KWT,0,0,1,1,2020,False
86,MDA,0,0,1,1,2020,False
1,USA,40,44,42,126,2024,False
2,CHN,40,27,24,91,2024,False
3,JPN,20,12,13,45,2024,False
4,AUS,18,19,16,53,2024,False
5,FRA,16,26,22,64,2024,True
6,NLD,15,7,12,34,2024,False
7,GBR,14,22,29,65,2024,False
9,ITA,12,13,15,40,2024,False
10,DEU,12,13,8,33,2024,False
11,NZL,10,7,3,20,2024,False
12,CAN,9,7,11,27,2024,False
13,UZB,8,2,3,13,2024,False
14,HUN,6,7,6,19,2024,False
15,ESP,5,4,9,18,2024,False
16,SWE,4,4,3,11,2024,False
17,KEN,4,2,5,11,2024,False
18,NOR,4,1,3,8,2024,False
19,IRL,4,0,3,7,2024,False
20,BRA,3,7,10,20,2024,False
22,UKR,3,5,4,12,2024,False
23,ROU,3,4,2,9,2024,False
24,GEO,3,3,1,7,2024,False
25,BEL,3,1,6,10,2024,False
26,BGR,3,1,3,7,2024,False
27,SRB,3,1,1,5,2024,False
29,DNK,2,2,5,9,2024,False
30,AZE,2,2,3,7,2024,False
30,HRV,2,2,3,7,2024,False
32,CUB,2,1,6,9,2024,False
33,BHR,2,1,1,4,2024,False
34,SVN,2,1,0,3,2024,False
35,TPE,2,0,5,7,2024,False
36,AUT,2,0,3,5,2024,False
37,HKG,2,0,2,4,2024,False
37,PHL,2,0,2,4,2024,False
39,DZA,2,0,1,3,2024,False
39,IDN,2,0,1,3,2024,False
41,ISR,1,5,1,7,2024,False
42,POL,1,4,5,10,2024,False
43,KAZ,1,3,3,7,2024,False
44,JAM,1,3,2,6,2024,False
44,ZAF,1,3,2,6,2024,False
44,THA,1,3,2,6,2024,False
47,ETH,1,3,0,4,2024,False
48,CHE,1,2,5,8,2024,False
49,ECU,1,2,2,5,2024,False
50,PRT,1,2,1,4,2024,False
51,GRC,1,1,6,8,2024,False
52,ARG,1,1,1,3,2024,False
52,EGY,1,1,1,3,2024,False
52,TUN,1,1,1,3,2024,False
55,BWA,1,1,0,2,2024,False
55,CHL,1,1,0,2,2024,False
55,LCA,1,1,0,2,2024,False
55,UGA,1,1,0,2,2024,False
59,DOM,1,0,2,3,2024,False
60,GTM,1,0,1,2,2024,False
60,MAR,1,0,1,2,2024,False
62,DMA,1,0,0,1,2024,False
62,PAK,1,0,0,1,2024,False
64,TUR,0,3,5,8,2024,False
65,MEX,0,3,2,5,2024,False
66,ARM,0,3,1,4,2024,False
66,COL,0,3,1,4,2024,False
68,KGZ,0,2,4,6,2024,False
68,PRK,0,2,4,6,2024,False
70,LTU,0,2,2,4,2024,False
71,IND,0,1,5,6,2024,False
72,MDA,0,1,3,4,2024,False
74,CYP,0,1,0,1,2024,False
74,FJI,0,1,0,1,2024,False
74,JOR,0,1,0,1,2024,False
74,MNG,0,1,0,1,2024,False
74,PAN,0,1,0,1,2024,False
79,TJK,0,0,3,3,2024,False
80,ALB,0,0,2,2,2024,False
80,GRD,0,0,2,2,2024,False
80,MYS,0,0,2,2,2024,False
80,PRI,0,0,2,2,2024,False
84,CPV,0,0,1,1,2024,False
84,CIV,0,0,1,1,2024,False
84,PER,0,0,1,1,2024,False
84,QAT,0,0,1,1,2024,False
84,SGP,0,0,1,1,2024,False
84,SVK,0,0,1,1,2024,False
84,ZMB,0,0,1,1,2024,False
